idna_subject,checker_type,destination,source,tested_at,session_id
0-0-----------------------------------------------------------0.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.471257,6f07148b20c92039c471f22d
0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0.info,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.472805,6f07148b20c92039c471f22d
0-0-0-0-0-0-0-0-0-0-0-0-0-18-0-0-0-0-0-0-0-0-0-0-0-0-0.info,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.473481,6f07148b20c92039c471f22d
0-0-0-0-0-0-0-0-0-0-0-0-0-33-0-0-0-0-0-0-0-0-0-0-0-0-0.info,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.474118,6f07148b20c92039c471f22d
0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0.info,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.474744,6f07148b20c92039c471f22d
0-0-0-0-0.cn.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.475366,6f07148b20c92039c471f22d
0-0-0-0go.sxn.us,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.476009,6f07148b20c92039c471f22d
0-0.binance.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.476694,6f07148b20c92039c471f22d
0-0.fr,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.477476,6f07148b20c92039c471f22d
0-14.dev.api.binance.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.478256,6f07148b20c92039c471f22d
0-152.us.api.binance.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.478988,6f07148b20c92039c471f22d
0-24bpautomentes.hu,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.479835,6f07148b20c92039c471f22d
0-29.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.480582,6f07148b20c92039c471f22d
0-2u.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.481609,6f07148b20c92039c471f22d
0-330.eu.api.binance.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.482375,6f07148b20c92039c471f22d
0-7.dev.api.binance.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.483130,6f07148b20c92039c471f22d
0-day.us,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.483984,6f07148b20c92039c471f22d
0-days.net,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.484871,6f07148b20c92039c471f22d
0-google.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.485681,6f07148b20c92039c471f22d
0.0.0.0.beeglivesex.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.486543,6f07148b20c92039c471f22d
0.0.0.0.creative.hpyrdr.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.487425,6f07148b20c92039c471f22d
0.0.0.0.hpyrdr.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.488413,6f07148b20c92039c471f22d
0.0.0.0gw.api.cryptopool.eu,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.489316,6f07148b20c92039c471f22d
0.0.0www.miningpool.tech,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.490231,6f07148b20c92039c471f22d
0.0265331.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.491182,6f07148b20c92039c471f22d
0.0mx7.api.cryptopool.eu,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.492096,6f07148b20c92039c471f22d
0.0www.miningpool.tech,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.493331,6f07148b20c92039c471f22d
0.1mono.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.494653,6f07148b20c92039c471f22d
0.2mono.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.495630,6f07148b20c92039c471f22d
0.2solo.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.496683,6f07148b20c92039c471f22d
0.3mono.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.498128,6f07148b20c92039c471f22d
0.3solo.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.499390,6f07148b20c92039c471f22d
0.4mono.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.500775,6f07148b20c92039c471f22d
0.4solo.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.502090,6f07148b20c92039c471f22d
0.5sercher.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.504002,6f07148b20c92039c471f22d
0.6mono.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.505075,6f07148b20c92039c471f22d
0.6solo.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.506321,6f07148b20c92039c471f22d
0.7mono.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.507560,6f07148b20c92039c471f22d
0.adx1.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.508702,6f07148b20c92039c471f22d
0.affex.org,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.510068,6f07148b20c92039c471f22d
0.afs.googleadservices.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.511386,6f07148b20c92039c471f22d
0.allowandgo.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.513359,6f07148b20c92039c471f22d
0.basenews7.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.514932,6f07148b20c92039c471f22d
0.bigclicker.me,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.516158,6f07148b20c92039c471f22d
0.bo4news.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.517503,6f07148b20c92039c471f22d
0.capitalgroupp.000webhostapp.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.519045,6f07148b20c92039c471f22d
0.clickjump.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.520439,6f07148b20c92039c471f22d
0.clickpush.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.522053,6f07148b20c92039c471f22d
0.creative.hpyrdr.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.523432,6f07148b20c92039c471f22d
0.easyhash.de,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.525013,6f07148b20c92039c471f22d
0.facebook.cm,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.526698,6f07148b20c92039c471f22d
0.facebook.com.webproxy.us.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.528093,6f07148b20c92039c471f22d
0.fecebook.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.529561,6f07148b20c92039c471f22d
0.findmedia.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.530959,6f07148b20c92039c471f22d
0.fls.doubleclick.net,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.532350,6f07148b20c92039c471f22d
0.fres-news.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.533646,6f07148b20c92039c471f22d
0.geniusdisplay.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.534924,6f07148b20c92039c471f22d
0.go8news.biz,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.536322,6f07148b20c92039c471f22d
0.hpyrdr.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.537666,6f07148b20c92039c471f22d
0.le4net00.net,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.539008,6f07148b20c92039c471f22d
0.lightversionhotel.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.540546,6f07148b20c92039c471f22d
0.liuliguo.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.542388,6f07148b20c92039c471f22d
0.liveadvert.com,AVAILABILITY,origin.list,origin.list,2001-04-01 16:02:58.544026,6f07148b20c92039c471f22d
